Word,Percentage
lincoln,0.039748595391896964%
few,0.039643440377632684%
law,0.03932797533483985%
better,0.0391176653063113%
d,0.038802200263518466%
gave,0.03869704524925419%
art,0.03869704524925419%
project,0.03869704524925419%
full,0.038591890234989906%
thing,0.038591890234989906%
voice,0.038591890234989906%
light,0.03838158020646135%
air,0.038276425192197074%
power,0.0381712701779328%
flow,0.03785580513513997%
seen,0.037645495106611415%
above,0.037540340092347135%
best,0.037435185078082855%
boy,0.037435185078082855%
thee,0.03680425499249719%
reason,0.03680425499249719%
whole,0.03669909997823291%
find,0.03669909997823291%
point,0.03659394496396864%
however,0.03659394496396864%
next,0.03648878994970436%
whom,0.03648878994970436%
mind,0.03638363493544008%
7,0.03596301487838297%
high,0.03596301487838297%
sewers,0.03596301487838297%
stood,0.03596301487838297%
doth,0.035857859864118685%
felt,0.03554239482132586%
brought,0.03543723980706158%
gus,0.0353320847927973%
door,0.03522692977853303%
word,0.03522692977853303%
since,0.03522692977853303%
children,0.03512177476426875%
order,0.03512177476426875%
different,0.034806309721475914%
sense,0.034806309721475914%
p,0.03459599969294736%
illustration,0.03459599969294736%
lisbeth,0.03449084467868308%
second,0.03449084467868308%
city,0.03449084467868308%
romantic,0.03417537963589025%
says,0.03417537963589025%
yes,0.03417537963589025%
rousseau,0.03407022462162597%
human,0.033859914593097416%
kind,0.033754759578833136%
cannot,0.033754759578833136%
bill,0.033649604564568864%
cent,0.033439294536040304%
10,0.03291351946471891%
together,0.03270320943619036%
certain,0.03259805442192608%
necessary,0.03259805442192608%
around,0.032492899407661806%
lady,0.032387744393397526%
want,0.032387744393397526%
large,0.032387744393397526%
9,0.03217743436486897%
form,0.03207227935060469%
half,0.03175681430781186%
whether,0.03165165929354758%
course,0.0315465042792833%
abe,0.0315465042792833%
material,0.03123103923649047%
ground,0.031125884222226195%
least,0.03102072920796192%
re,0.03091557419369764%
death,0.03091557419369764%
soon,0.030810419179433363%
keep,0.03028464410811197%
sort,0.030179489093847694%
days,0.030074334079583417%
v,0.02986402405105486%
master,0.02986402405105486%
anything,0.02986402405105486%
e,0.02965371402252631%
ll,0.02965371402252631%
open,0.02965371402252631%
toward,0.02965371402252631%
tank,0.02965371402252631%
case,0.029548559008262032%
held,0.029548559008262032%
bed,0.029443403993997752%
gone,0.029443403993997752%
poor,0.029338248979733476%
line,0.029338248979733476%
others,0.0292330939654692%
girl,0.029127938951204916%
money,0.02902278393694064%
true,0.02902278393694064%
ois,0.02902278393694064%
cost,0.02902278393694064%
number,0.028917628922676363%
years,0.028917628922676363%
either,0.028917628922676363%
fran,0.028812473908412083%
sludge,0.028812473908412083%
behind,0.028707318894147807%
de,0.02860216387988353%
almost,0.02860216387988353%
wife,0.028497008865619254%
quite,0.028391853851354974%
book,0.028391853851354974%
concrete,0.028391853851354974%
times,0.028286698837090698%
body,0.028286698837090698%
call,0.028286698837090698%
white,0.028286698837090698%
indeed,0.02818154382282642%
general,0.02818154382282642%
herself,0.02818154382282642%
having,0.028076388808562145%
itself,0.028076388808562145%
20,0.02786607878003359%
inches,0.02786607878003359%
among,0.02765576875150503%
help,0.02765576875150503%
son,0.027550613737240753%
morning,0.027445458722976476%
answered,0.02723514869444792%
whose,0.02723514869444792%
amount,0.02723514869444792%
alone,0.027129993680183644%
sure,0.027024838665919364%
read,0.026919683651655087%
country,0.026919683651655087%
000,0.026919683651655087%
hard,0.026919683651655087%
colonel,0.026919683651655087%
fire,0.026919683651655087%
dead,0.026919683651655087%
12,0.02681452863739081%
possible,0.02681452863739081%
often,0.026709373623126535%
cecil,0.026709373623126535%
15,0.026604218608862258%
present,0.026604218608862258%
self,0.026604218608862258%
unto,0.026604218608862258%
known,0.02649906359459798%
really,0.02649906359459798%
fact,0.02649906359459798%
person,0.026393908580333695%
surface,0.026393908580333695%
saying,0.02628875356606942%
near,0.026078443537540866%
making,0.026078443537540866%
rutledge,0.02586813350901231%
o,0.0254475134519552%
madeleine,0.0254475134519552%
