Word,Percentage
die,0.031487250147056466
der,0.03077657258867448
und,0.029885078517853915
in,0.01608008111566077
zu,0.013172139608658135
den,0.012355032077764833
sie,0.012166204707180247
das,0.011032096075366154
von,0.00956038699311295
mit,0.008649437981080641
sich,0.008623116590029458
er,0.008438866852671163
des,0.008175652942159316
auf,0.008048623620129685
nicht,0.008039468353677099
dem,0.007812875508975595
es,0.007572549764595211
ein,0.007307047037470217
ist,0.006857294572986929
ich,0.006709665901438979
daß,0.005831904730297295
an,0.0055664020031723
so,0.005551524695186848
als,0.005430217414690083
eine,0.005335231525244503
wir,0.005264278210236961
war,0.004875179386002055
wie,0.004742428022439558
im,0.004582210859519303
aber,0.004578777634599583
auch,0.004552456243548398
nach,0.0039161652250936695
für,0.0036609621727278344
aus,0.003387448587456827
noch,0.003359982788099069
nur,0.003190610358726228
man,0.003105924144039807
um,0.0030532813619374376
uns,0.002996060946608775
durch,0.002909085915309208
werden,0.0027820565932795767
sind,0.002774045735133564
sein,0.002697370378593156
bei,0.0026779154373814105
oder,0.0026744822124616908
einer,0.002648160821410506
hatte,0.0026401499632644934
wenn,0.002637861146651347
einen,0.002628705880198761
ihr,0.0023735028278329255
hat,0.002348325845088314
da,0.002307127146051677
einem,0.002276228121774199
ihm,0.0022624952220953202
wird,0.0022521955473361606
über,0.0021961195403140715
was,0.002193830723700925
diese,0.0020462020521529755
vor,0.002037046785700389
haben,0.002032469152474096
am,0.0018871292975392933
zum,0.0018768296227801339
du,0.0018505082317289492
zur,0.0018093095326923122
dieser,0.0018058763077725922
ihn,0.0017990098579331528
nun,0.0017429338509110635
mir,0.0017292009512321843
unter,0.0017189012764730251
denn,0.0017166124598598786
doch,0.0016834246189692543
dann,0.0016170489371880056
seine,0.0015804278713776616
mehr,0.001504896923143827
waren,0.0014980304733043875
ihre,0.0014968860649978142
wieder,0.0014728534905597758
schon,0.0014442432828954445
alle,0.0014270771582968458
mich,0.001391600500793075
bis,0.0013652791097418901
kann,0.0013217915940921066
ganz,0.0013137807359460938
sehr,0.0013057698778000811
wurde,0.0013057698778000811
welche,0.0012863149365883357
eines,0.0012348165627925395
seiner,0.0012039175385150616
ja,0.0012027731302084884
hier,0.0011936178637559022
selbst,0.001192473455449329
zeit,0.0011890402305296092
sagte,0.0011638632477849978
ihnen,0.0011455527148798257
ohne,0.001124953365361507
können,0.0010642997251131248
habe,0.001047133600514526
also,0.0010322562925290737
ihrer,0.0010299674759159272
jetzt,0.0010002128599450226
vom,9.601585692149588E-4
seinen,9.567253442952391E-4
dieses,9.532921193755192E-4
hatten,9.418480363097868E-4
immer,9.258263200177612E-4
gegen,9.24681911711188E-4
alles,9.075157871125892E-4
1,9.052269704994427E-4
ihren,9.006493372731496E-4
wo,8.983605206600031E-4
wohl,8.880608459008439E-4
s,8.869164375942707E-4
etwas,8.66317088075952E-4
sei,8.628838631562323E-4
nichts,8.43428921944487E-4
diesem,8.365624721050476E-4
sondern,8.216851641195953E-4
keine,7.930749564552639E-4
leben,7.827752816961047E-4
muß,7.804864650829582E-4
meine,7.747644235500919E-4
seinem,7.667535654040791E-4
zwei,7.564538906449198E-4
diesen,7.152551916082828E-4
weg,7.152551916082828E-4
herr,7.060999251556967E-4
während,6.992334753162572E-4
weil,6.98089067009684E-4
2,6.93511433783391E-4
einmal,6.877893922505247E-4
mein,6.820673507176584E-4
mann,6.797785341045119E-4
konnte,6.774897174913655E-4
wasser,6.740564925716457E-4
worden,6.729120842650725E-4
art,6.70623267651926E-4
kam,6.671900427322061E-4
hätte,6.660456344256329E-4
viel,6.454462849073144E-4
arbeit,6.431574682941679E-4
ob,6.431574682941679E-4
würde,6.362910184547284E-4
zwischen,6.282801603087156E-4
wäre,6.282801603087156E-4
dort,6.237025270824226E-4
damit,6.225581187758493E-4
dass,6.214137104692761E-4
christ,6.145472606298365E-4
dies,6.111140357101168E-4
allen,6.099696274035435E-4
denen,6.065364024838238E-4
dir,6.065364024838238E-4
lassen,6.053919941772506E-4
sah,6.042475858706773E-4
augen,5.996699526443843E-4
andern,5.98525544337811E-4
will,5.905146861917983E-4
gut,5.870814612720785E-4
wurden,5.825038280457855E-4
sehen,5.802150114326389E-4
machen,5.790706031260657E-4
andere,5.790706031260657E-4
kommen,5.767817865129192E-4
beiden,5.699153366734797E-4
recht,5.676265200603332E-4
kein,5.619044785274669E-4
wollte,5.619044785274669E-4
0,5.584712536077472E-4
dessen,5.538936203814542E-4
hand,5.516048037683077E-4
dolores,5.48171578848588E-4
rief,5.424495373157216E-4
weiter,5.424495373157216E-4
bald,5.413051290091484E-4
frau,5.401607207025751E-4
ihrem,5.401607207025751E-4
dich,5.401607207025751E-4
großen,5.401607207025751E-4
erst,5.390163123960019E-4
dabei,5.378719040894286E-4
müssen,5.344386791697089E-4
deren,5.275722293302694E-4
menschen,5.241390044105496E-4
gar,5.241390044105496E-4
unsere,5.229945961039763E-4
3,5.195613711842566E-4
soll,5.092616964250973E-4
aller,5.058284715053775E-4
ersten,5.046840631988043E-4
ab,4.8637353029363226E-4
beim,4.8637353029363226E-4
lange,4.8637353029363226E-4
kleinen,4.8408471368048577E-4
jahre,4.8065148876076603E-4
mußte,4.795070804541928E-4
darauf,4.7836267214761954E-4
anderen,4.737850389213265E-4
bin,4.7035181400160677E-4
gewesen,4.6920740569503347E-4
ganzen,4.6920740569503347E-4
drei,4.680629973884602E-4
oft,4.6348536416216724E-4
weise,4.6119654754902075E-4
gott,4.6119654754902075E-4
stand,4.6119654754902075E-4
fragte,4.589077309358742E-4
ging,4.5776332262930096E-4
wer,4.543300977095812E-4
große,4.5204128109643473E-4
ganze,4.5204128109643473E-4
solche,4.4860805617671494E-4
zwar,4.4403042295042196E-4
stehen,4.428860146438487E-4
fast,4.428860146438487E-4
zurück,4.417416063372754E-4
wollen,4.394527897241289E-4
stadt,4.383083814175557E-4
jeder,4.360195648044092E-4
einige,4.3487515649783594E-4
finden,4.3487515649783594E-4
4,4.325863398846894E-4
stiftung,4.3144193157811615E-4
unserer,4.2915311496496966E-4
ende,4.2686429835182317E-4
sagen,4.257198900452499E-4
werde,4.245754817386766E-4
indem,4.2228666512553013E-4
5,4.1999784851238364E-4
etwa,4.1770903189923715E-4
teil,4.154202152860906E-4
alten,4.154202152860906E-4
sollte,4.1198699036637087E-4
welt,4.096981737532244E-4
wenig,4.074093571400779E-4
kommt,4.074093571400779E-4
ließ,4.039761322203581E-4
hin,4.0054290730063836E-4
endlich,3.993984989940651E-4
allein,3.9825409068749187E-4
automobil,3.948208657677721E-4
seines,3.948208657677721E-4
kleine,3.9138764084805234E-4
weit,3.9138764084805234E-4
dazu,3.902432325414791E-4
wegen,3.8909882423490585E-4
besonders,3.8909882423490585E-4
weiß,3.8909882423490585E-4
euch,3.8909882423490585E-4
geworden,3.8795441592833255E-4
vielleicht,3.8795441592833255E-4
gehen,3.8566559931518606E-4
seite,3.845211910086128E-4
herrn,3.822323743954663E-4
oben,3.810879660888931E-4
fig,3.799435577823198E-4
nie,3.7879914947574653E-4
ins,3.776547411691733E-4
leicht,3.7651033286260004E-4
liebe,3.7422151624945355E-4
o,3.730771079428803E-4
sprach,3.7193269963630706E-4
tage,3.6849947471658727E-4
heute,3.6506624979686753E-4
nachdem,3.6277743318372104E-4
rücken,3.6163302487714774E-4
davon,3.604886165705745E-4
gemacht,3.53622166731135E-4
straße,3.53622166731135E-4
leute,3.53622166731135E-4
namen,3.524777584245617E-4
seit,3.513333501179885E-4
machte,3.49044533504842E-4
tag,3.49044533504842E-4
meiner,3.4790012519826874E-4
stunden,3.433224919719757E-4
je,3.410336753588292E-4
geben,3.3988926705225597E-4
gerade,3.3988926705225597E-4
gekommen,3.387448587456827E-4
sonst,3.376004504391095E-4
einzelnen,3.376004504391095E-4
mutter,3.35311633825963E-4
wort,3.3302281721281644E-4
10,3.3073400059966995E-4
daran,3.3073400059966995E-4
viele,3.273007756799502E-4
l,3.261563673733769E-4
alte,3.261563673733769E-4
gab,3.2501195906680367E-4
könnte,3.227231424536572E-4
jener,3.2157873414708394E-4
larven,3.2157873414708394E-4
gibt,3.204343258405107E-4
steht,3.204343258405107E-4
boden,3.1928991753393744E-4
letzten,3.181455092273642E-4
jahren,3.170011009207909E-4
d,3.1585669261421765E-4
später,3.1585669261421765E-4
kaum,3.1356787600107116E-4
bleiben,3.1127905938792467E-4
neue,3.101346510813514E-4
macht,3.101346510813514E-4
falkner,3.0670142616163164E-4
halten,3.0670142616163164E-4
meinen,3.055570178550584E-4
jedoch,3.055570178550584E-4
stelle,3.055570178550584E-4
nahm,3.055570178550584E-4
erste,3.0441260954848514E-4
stets,3.032682012419119E-4
herz,3.0212379293533865E-4
nehmen,3.0212379293533865E-4
nein,3.0212379293533865E-4
welcher,3.0212379293533865E-4
sogar,2.9983497632219216E-4
keinen,2.9983497632219216E-4
eben,2.9640175140247237E-4
gleich,2.952573430958991E-4
genau,2.952573430958991E-4
hast,2.941129347893259E-4
grund,2.9067970986960614E-4
stunde,2.8724648494988635E-4
bringen,2.8724648494988635E-4
ihres,2.8724648494988635E-4
dadurch,2.8724648494988635E-4
liegt,2.8724648494988635E-4
derselben,2.8724648494988635E-4
könig,2.8495766833673986E-4
schien,2.8495766833673986E-4
darüber,2.8495766833673986E-4
wußte,2.838132600301666E-4
stellen,2.803800351104468E-4
ebenso,2.7809121849730034E-4
blieb,2.7809121849730034E-4
hinter,2.769468101907271E-4
frage,2.7580240188415384E-4
faust,2.7580240188415384E-4
deshalb,2.7580240188415384E-4
guten,2.746579935775806E-4
wissen,2.746579935775806E-4
kamen,2.746579935775806E-4
nacht,2.746579935775806E-4
tun,2.746579935775806E-4
würden,2.746579935775806E-4
damals,2.7351358527100735E-4
7,2.7236917696443405E-4
8,2.7236917696443405E-4
hätten,2.7236917696443405E-4
fort,2.712247686578608E-4
geht,2.712247686578608E-4
her,2.712247686578608E-4
worte,2.7008036035128756E-4
6,2.689359520447143E-4
unser,2.689359520447143E-4
seele,2.6779154373814107E-4
hause,2.6779154373814107E-4
jede,2.6779154373814107E-4
kraft,2.666471354315678E-4
jene,2.666471354315678E-4
sollen,2.6435831881842134E-4
doktor,2.6321391051184804E-4
daher,2.620695022052748E-4
neuen,2.620695022052748E-4
gedanken,2.620695022052748E-4
sofort,2.597806855921283E-4
welches,2.597806855921283E-4
b,2.5863627728555505E-4
niemand,2.574918689789818E-4
konnten,2.5634746067240856E-4
erwiderte,2.5634746067240856E-4
arbeiter,2.552030523658353E-4
uhr,2.552030523658353E-4
gute,2.54058644059262E-4
gegenüber,2.5291423575268877E-4
gesagt,2.5291423575268877E-4
maschine,2.5291423575268877E-4
gegeben,2.517698274461155E-4
neben,2.517698274461155E-4
herzen,2.506254191395423E-4
arten,2.506254191395423E-4
darf,2.506254191395423E-4
zeiss,2.4948101083296904E-4
nämlich,2.4948101083296904E-4
solcher,2.4948101083296904E-4
solchen,2.4948101083296904E-4
a,2.4719219421982254E-4
vier,2.4719219421982254E-4
sidsel,2.460477859132493E-4
darin,2.460477859132493E-4
meinem,2.44903377606676E-4
fest,2.4375896930010278E-4
unseren,2.426145609935295E-4
glauben,2.426145609935295E-4
tätigkeit,2.426145609935295E-4
junge,2.4147015268695626E-4
erhalten,2.4147015268695626E-4
augenblick,2.4032574438038302E-4
wirklich,2.4032574438038302E-4
9,2.3918133607380977E-4
wagen,2.3918133607380977E-4
begann,2.380369277672365E-4
kopf,2.3689251946066325E-4
bogen,2.3574811115409E-4
überhaupt,2.3574811115409E-4
läßt,2.3460370284751674E-4
deine,2.3231488623437024E-4
himmel,2.2888166131465048E-4
fand,2.2888166131465048E-4
lieber,2.2773725300807724E-4
gehört,2.2773725300807724E-4
carl,2.2544843639493072E-4
jedem,2.2430402808835747E-4
setzte,2.2430402808835747E-4
blick,2.2315961978178423E-4
tat,2.2315961978178423E-4
unten,2.2201521147521098E-4
besser,2.2201521147521098E-4
warum,2.2201521147521098E-4
dafür,2.2201521147521098E-4
dein,2.2201521147521098E-4
nächsten,2.2201521147521098E-4
gottes,2.2201521147521098E-4
irgend,2.208708031686377E-4
stimme,2.208708031686377E-4
fürst,2.208708031686377E-4
bist,2.1972639486206446E-4
luft,2.1972639486206446E-4
jungen,2.1972639486206446E-4
christin,2.1858198655549122E-4
plötzlich,2.1743757824891797E-4
fische,2.1743757824891797E-4
reise,2.1743757824891797E-4
weniger,2.162931699423447E-4
all,2.162931699423447E-4
personen,2.1514876163577145E-4
buch,2.1514876163577145E-4
abend,2.1514876163577145E-4
morgen,2.1514876163577145E-4
menge,2.1514876163577145E-4
ruß,2.1514876163577145E-4
sahen,2.140043533291982E-4
zensur,2.1285994502262496E-4
haus,2.1285994502262496E-4
wege,2.1285994502262496E-4
vielen,2.1285994502262496E-4
fahrt,2.1057112840947844E-4
eigenen,2.1057112840947844E-4
sache,2.094267201029052E-4
susi,2.0828231179633195E-4
fall,2.0713790348975868E-4
mutherz,2.0713790348975868E-4
übrigen,2.0599349518318544E-4
tiere,2.0599349518318544E-4
hielt,2.048490868766122E-4
mußten,2.048490868766122E-4
selber,2.048490868766122E-4
völlig,2.048490868766122E-4
vater,2.0370467857003894E-4
dahin,2.0370467857003894E-4
stück,2.0370467857003894E-4
findet,2.0370467857003894E-4
fuhr,2.0256027026346567E-4
beide,2.0256027026346567E-4
mitte,2.0256027026346567E-4
zusammen,2.0256027026346567E-4
gesehen,2.0256027026346567E-4
